id,balls_per_over,team,team_1,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire_2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,Column1
439510,6,Ireland,Netherlands,male,2009/10,13-02-10,ICC World Twenty20 Qualifier,16,Dubai International Cricket Stadium,,Ireland,bat,AR Cusack,Aleem Dar,SR Modi,PK Baldwin,,Ishtiaq Ahmed,Ireland,65,,2.1.0
439511,6,Afghanistan,Ireland,male,2009/10,13-02-10,ICC World Twenty20 Qualifier,,Dubai International Cricket Stadium,,Ireland,bat,Mohammad Shahzad,PK Baldwin,Sarika Prasad,,,DT Jukes,Afghanistan,,8,2.1.0
440945,6,England,Pakistan,male,2009/10,19-02-10,Pakistan v England T20I Series,1,Dubai International Cricket Stadium,,Pakistan,bat,EJG Morgan,EAR de Silva,HDPK Dharmasena,Mohammad Ali,Enamul Haque,RS Madugalle,England,,7,2.1.0
440946,6,England,Pakistan,male,2009/10,20-02-10,Pakistan v England T20I Series,2,Dubai International Cricket Stadium,,Pakistan,field,Abdul Razzaq,EAR de Silva,Enamul Haque,Mohammad Ali,HDPK Dharmasena,RS Madugalle,Pakistan,,4,2.1.0
446956,6,Australia,Sri Lanka,male,2010/11,31-10-10,,,Western Australia Cricket Association Ground,Perth,Australia,bat,S Randiv,BNJ Oxenford,PR Reiffel,NR Johnstone,SD Fry,BC Broad,Sri Lanka,,7,2.1.0
446960,6,Australia,England,male,2010/11,12-01-11,England in Australia T20I Series,1,Adelaide Oval,,Australia,bat,SR Watson,SD Fry,BNJ Oxenford,P Wilson,PR Reiffel,RS Madugalle,England,,1,2.1.0
446961,6,Australia,England,male,2010/11,14-01-11,England in Australia T20I Series,2,Melbourne Cricket Ground,,Australia,bat,AJ Finch,BNJ Oxenford,PR Reiffel,GC Joshua,SD Fry,RS Madugalle,Australia,4,,2.1.0
447539,6,West Indies,South Africa,male,2010,20-05-10,South Africa in West Indies T20I Series,2,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,field,J Botha,CR Duncan,NA Malcolm,CE Mack,GE Greaves,RS Mahanama,South Africa,1,,2.1.0
452153,6,Zimbabwe,India,male,2010,12-06-10,India in Zimbabwe T20I Series,1,Harare Sports Club,,India,field,YK Pathan,O Chirombe,RB Tiffin,TJ Tapfumaneyi,TJ Matibiri,JJ Crowe,India,,6,2.1.0
452154,6,Zimbabwe,India,male,2010,13-06-10,India in Zimbabwe T20I Series,2,Harare Sports Club,,India,field,SK Raina,O Chirombe,RB Tiffin,TJ Tapfumaneyi,TJ Matibiri,JJ Crowe,India,,7,2.1.0
